ID,Vehicles,Lower_Bound,Upper_Bound,Junction
20170701001.0,72.0,54.0,91.0,1
20170701002.0,,,,2
20170701003.0,,,,3
20170701004.0,,,,4
20170701011.0,72.0,54.0,90.0,1
20170701012.0,,,,2
20170701013.0,,,,3
20170701014.0,,,,4
20170701021.0,71.0,53.0,90.0,1
20170701022.0,,,,2
20170701023.0,,,,3
20170701024.0,,,,4
20170701031.0,70.0,52.0,89.0,1
20170701032.0,,,,2
20170701033.0,,,,3
20170701034.0,,,,4
20170701041.0,70.0,52.0,89.0,1
20170701042.0,,,,2
20170701043.0,,,,3
20170701044.0,,,,4
20170701051.0,69.0,51.0,88.0,1
20170701052.0,,,,2
20170701053.0,,,,3
20170701054.0,,,,4
20170701061.0,69.0,50.0,88.0,1
20170701062.0,,,,2
20170701063.0,,,,3
20170701064.0,,,,4
20170701071.0,68.0,49.0,87.0,1
20170701072.0,,,,2
20170701073.0,,,,3
20170701074.0,,,,4
20170701081.0,67.0,51.0,85.0,1
20170701082.0,,,,2
20170701083.0,,,,3
20170701084.0,,,,4
20170701091.0,67.0,50.0,87.0,1
20170701092.0,,,,2
20170701093.0,,,,3
20170701094.0,,,,4
20170701101.0,66.0,47.0,85.0,1
20170701102.0,,,,2
20170701103.0,,,,3
20170701104.0,,,,4
20170701111.0,65.0,48.0,83.0,1
20170701112.0,,,,2
20170701113.0,,,,3
20170701114.0,,,,4
20170701121.0,65.0,46.0,83.0,1
20170701122.0,,,,2
20170701123.0,,,,3
20170701124.0,,,,4
20170701131.0,64.0,46.0,81.0,1
20170701132.0,,,,2
20170701133.0,,,,3
20170701134.0,,,,4
20170701141.0,64.0,45.0,82.0,1
20170701142.0,,,,2
20170701143.0,,,,3
20170701144.0,,,,4
20170701151.0,63.0,44.0,81.0,1
20170701152.0,,,,2
20170701153.0,,,,3
20170701154.0,,,,4
20170701161.0,62.0,44.0,81.0,1
20170701162.0,,,,2
20170701163.0,,,,3
20170701164.0,,,,4
20170701171.0,62.0,43.0,79.0,1
20170701172.0,,,,2
20170701173.0,,,,3
20170701174.0,,,,4
20170701181.0,61.0,43.0,81.0,1
20170701182.0,,,,2
20170701183.0,,,,3
20170701184.0,,,,4
20170701191.0,61.0,43.0,80.0,1
20170701192.0,,,,2
20170701193.0,,,,3
20170701194.0,,,,4
20170701201.0,61.0,41.0,80.0,1
20170701202.0,,,,2
20170701203.0,,,,3
20170701204.0,,,,4
20170701211.0,60.0,43.0,78.0,1
20170701212.0,,,,2
20170701213.0,,,,3
20170701214.0,,,,4
20170701221.0,60.0,42.0,78.0,1
20170701222.0,,,,2
20170701223.0,,,,3
20170701224.0,,,,4
20170701231.0,60.0,41.0,77.0,1
20170701232.0,,,,2
20170701233.0,,,,3
20170701234.0,,,,4
20170702001.0,59.0,41.0,78.0,1
20170702002.0,,,,2
20170702003.0,,,,3
20170702004.0,,,,4
20170702011.0,59.0,41.0,78.0,1
20170702012.0,,,,2
20170702013.0,,,,3
20170702014.0,,,,4
20170702021.0,59.0,40.0,78.0,1
20170702022.0,,,,2
20170702023.0,,,,3
20170702024.0,,,,4
20170702031.0,59.0,41.0,77.0,1
